status	path	zones	purpose
??	apps/avelune_studio/test/presentation/resource_image_import_test.dart	unreadable PNG preview and cancellation	Recoverable preview error without uncaught Flutter exception
 M	apps/avelune_studio/README.md	@@ -1 +1 @@; @@ -5 +5,2 @@ d’éditer les décors préparés et des tuiles simples, puis d’enregistrer e; @@ -54,0 +56,26 @@ pendant une saisie de texte.; @@ -63,3 +90,9 @@ il ne remplace pas la profondeur dynamique du personnage.; @@ -69,3 +102,8 @@ Le cache conserve au plus 256 Mio décodés, avec éviction des images non utili; @@ -104,0 +143,3 @@ lib/; @@ -151 +192,4 @@ Les preuves et les réserves de recette sont détaillées dans le; @@ -153 +197 @@ Le runner existant `tool/run_check.py` conserve sorties, codes et descendants de	M2 UI integration and documented user flow
 M	apps/avelune_studio/lib/app/di/providers.dart	@@ -2,0 +3 @@ export 'project_session_providers.dart';	dependency injection and workspace lifecycle
 M	apps/avelune_studio/lib/app/studio_bootstrap.dart	StudioBootstrap; @@ -8,0 +9,2 @@ import 'package:avelune_studio/platform/files/native_project_directory_picker.da; @@ -27,0 +30,13 @@ class StudioBootstrap extends StatelessWidget {	dependency injection and workspace lifecycle
 M	apps/avelune_studio/lib/features/map_workspace/application/map_workspace_controller.dart	MapWorkspaceController; @@ -27,0 +28 @@ class MapWorkspaceController {; @@ -95,0 +97,12 @@ class MapWorkspaceController {	preserve M1 session and integrate resource brushes
 M	apps/avelune_studio/lib/features/map_workspace/data/local_map_workspace_adapter.dart	LocalMapWorkspaceAdapter; _ProjectDocument; @@ -2,0 +3 @@ import 'dart:io';; @@ -11,0 +13 @@ import 'package:avelune_studio/features/map_workspace/data/map_document_retentio; @@ -23,0 +26,39 @@ final class LocalMapWorkspaceAdapter implements MapWorkspacePort {; @@ -106,0 +148,6 @@ final class LocalMapWorkspaceAdapter implements MapWorkspacePort {	preserve M1 session and integrate resource brushes
 M	apps/avelune_studio/lib/platform/rendering/studio_image_store.dart	StudioImageStore; @@ -21,3 +21 @@ final class StudioImageStore {; @@ -51,0 +50,2 @@ final class StudioImageStore {; @@ -56,0 +57,2 @@ final class StudioImageStore {; @@ -58,4 +60,4 @@ final class StudioImageStore {; @@ -66,0 +69,3 @@ final class StudioImageStore {; @@ -71 +76 @@ final class StudioImageStore {; @@ -72,0 +78 @@ final class StudioImageStore {; @@ -75,0 +82,2 @@ final class StudioImageStore {; @@ -76,0 +85 @@ final class StudioImageStore {; @@ -88,0 +98,9 @@ final class StudioImageStore {; @@ -93,0 +112,40 @@ final class StudioImageStore {; @@ -99 +157,5 @@ final class StudioImageStore {; @@ -148 +210,2 @@ final class StudioImageStore {; @@ -150,0 +214,3 @@ final class StudioImageStore {; @@ -173 +239 @@ final class StudioImageStore {; @@ -174,0 +241,7 @@ final class StudioImageStore {; @@ -187 +260,4 @@ final class StudioImageStore {; @@ -193,2 +269,3 @@ final class StudioImageStore {; @@ -196 +273 @@ final class StudioImageStore {; @@ -198,0 +276,2 @@ final class StudioImageStore {; @@ -214,0 +294,4 @@ final class StudioImageStore {	demand loading, budget and targeted resource invalidation
 M	apps/avelune_studio/lib/platform/rendering/studio_map_resources.dart	StudioMapResources; _ResourceChanges; @@ -2 +1,0 @@ import 'dart:async';; @@ -5,3 +3,0 @@ import 'package:flutter/widgets.dart';; @@ -10,0 +7 @@ import 'package:map_runtime/map_runtime_authoring.dart';; @@ -19,0 +17,2 @@ import 'studio_resource_thumbnail.dart';; @@ -21 +20,2 @@ import 'studio_resource_thumbnail.dart';; @@ -26,2 +26,2 @@ final class StudioMapResources implements MapWorkspaceVisuals {; @@ -35,0 +36,5 @@ final class StudioMapResources implements MapWorkspaceVisuals {; @@ -52,2 +56,0 @@ final class StudioMapResources implements MapWorkspaceVisuals {; @@ -55,3 +58,6 @@ final class StudioMapResources implements MapWorkspaceVisuals {; @@ -59,15 +64,0 @@ final class StudioMapResources implements MapWorkspaceVisuals {; @@ -83,8 +73,0 @@ final class StudioMapResources implements MapWorkspaceVisuals {; @@ -102,0 +86,52 @@ final class StudioMapResources implements MapWorkspaceVisuals {; @@ -112,0 +148 @@ final class StudioMapResources implements MapWorkspaceVisuals {; @@ -121,0 +158,3 @@ final class StudioMapResources implements MapWorkspaceVisuals {; @@ -130,0 +170,11 @@ final class StudioMapResources implements MapWorkspaceVisuals {; @@ -137 +187,3 @@ final class StudioMapResources implements MapWorkspaceVisuals {; @@ -166,0 +219 @@ final class StudioMapResources implements MapWorkspaceVisuals {	demand loading, budget and targeted resource invalidation
 M	apps/avelune_studio/lib/platform/rendering/studio_map_visual_widgets.dart	StudioMapVisual; _StudioMapVisualState; _MissingResourcePainter; _MapPainter; @@ -24,0 +25 @@ class _StudioMapVisualState extends State<StudioMapVisual> {; @@ -33,0 +35,20 @@ class _StudioMapVisualState extends State<StudioMapVisual> {; @@ -41,0 +63,2 @@ class _StudioMapVisualState extends State<StudioMapVisual> {; @@ -51,0 +75 @@ class _StudioMapVisualState extends State<StudioMapVisual> {	demand loading, budget and targeted resource invalidation
 M	apps/avelune_studio/lib/platform/rendering/studio_resource_decoder.dart	StudioResourceFailure; StudioResourceDecoder; @@ -13 +13 @@ final class StudioResourceFailure implements Exception {; @@ -15,0 +16 @@ final class StudioResourceFailure implements Exception {; @@ -34 +35 @@ final class StudioResourceDecoder {; @@ -68 +69 @@ final class StudioResourceDecoder {; @@ -70 +71,2 @@ final class StudioResourceDecoder {; @@ -74,0 +77 @@ final class StudioResourceDecoder {; @@ -103 +106 @@ final class StudioResourceDecoder {; @@ -105 +108,2 @@ final class StudioResourceDecoder {; @@ -108,2 +112,2 @@ final class StudioResourceDecoder {	demand loading, budget and targeted resource invalidation
 M	apps/avelune_studio/lib/platform/rendering/studio_resource_index.dart	StudioResourceIndex; @@ -48,0 +49,29 @@ final class StudioResourceIndex {	demand loading, budget and targeted resource invalidation
 M	apps/avelune_studio/lib/platform/rendering/studio_resource_thumbnail.dart	StudioResourceThumbnail; _StudioResourceThumbnailState; _ThumbnailSlice; _ThumbnailPainter; @@ -31,0 +32 @@ class _StudioResourceThumbnailState extends State<StudioResourceThumbnail> {; @@ -48,0 +50 @@ class _StudioResourceThumbnailState extends State<StudioResourceThumbnail> {; @@ -56,3 +58,5 @@ class _StudioResourceThumbnailState extends State<StudioResourceThumbnail> {; @@ -60,0 +65,3 @@ class _StudioResourceThumbnailState extends State<StudioResourceThumbnail> {	demand loading, budget and targeted resource invalidation
